ProjectName,Funding
5GSEACURITY,0.4
5G-PP,0.4
5G-CARE,0.4
5G-CR-H,0.4
5G-RM,0.4
CONNECTOW,0.75
5GENIUS,0.75
5G-PHINGE,0.75
SINTRA,0.39
FLOODIFY,0.4
BOLSTER,0.8
MIRACLE,0.8
PROACTIF,0.4
